t,w,x,y,z
21:24:59.293350,1,0.04,0.01,0.04
21:24:59.309439,1,0.04,0.01,0.041
21:24:59.325855,1,0.03,0,0.041
21:24:59.342277,1,0.03,0,0.04
21:24:59.358969,1,0.03,0,0.041
21:24:59.375785,1,0.03,0,0.041
21:24:59.392211,1,0.03,0,0.04
21:24:59.409044,1,0.03,0,0.041
21:24:59.426014,1,0.03,0,0.041
21:24:59.442755,1,0.03,0,0.04
21:24:59.459887,1,0.03,0,0.041
21:24:59.476554,1,0.03,0,0.041
21:24:59.492813,1,0.03,0.01,0.04
21:24:59.509182,1,0.03,0.01,0.041
21:24:59.525695,1,0.03,0.01,0.041
21:24:59.542793,1,0.03,0.01,0.04
21:24:59.559137,1,0.03,0.01,0.041
21:24:59.575678,1,0.03,0.01,0.041
21:24:59.593041,1,0.03,0.01,0.04
21:24:59.608902,1,0.03,0.01,0.041
21:24:59.625641,1,0.03,0,0.031
21:24:59.642208,1,0.03,0,0.02
21:24:59.659183,1,0.03,0.01,0.021
21:24:59.675697,1,0.03,0,0.021
21:24:59.692798,1,0.03,0,0.02
21:24:59.708992,1,0.03,0,0.021
21:24:59.725646,1,0.03,0,0.021
21:24:59.742168,1,0.03,0,0.02
21:24:59.758899,1,0.03,0,0.021
21:24:59.775475,1,0.03,0,0.021
21:24:59.792159,1,0.03,0,0.02
21:24:59.808815,1,0.03,0,0.021
21:24:59.825483,1,0.03,0,0.021
21:24:59.842150,1,0.03,0,0.02
21:24:59.858812,1,0.03,0,0.021
21:24:59.875416,1,0.03,0,0.021
21:24:59.893457,1,0.03,0,0.02
21:24:59.909132,1,0.03,0,0.021
21:24:59.925558,1,0.03,0,0.021
21:24:59.942191,1,0.03,0,0.02
21:24:59.958860,1,0.03,0,0.021
21:24:59.975481,1,0.03,0,0.021
21:24:59.992151,1,0.03,0,0.02
21:25:00.008776,1,0.03,0,0.021
21:25:00.026114,1,0.03,0,0.021
21:25:00.042726,1,0.03,0,0.02
21:25:00.058957,1,0.03,0,0.021
21:25:00.075448,1,0.03,0,0.021
21:25:00.092108,1,0.03,0,0.02
21:25:00.109254,1,0.03,0,0.021
21:25:00.125637,1,0.03,0,0.031
21:25:00.142325,1,0.02,0,0.05
21:25:00.159103,1,0.02,-0,0.061
21:25:00.175581,1,0.02,0,0.081
21:25:00.192118,1,0.02,0,0.09
21:25:00.208826,0.99,0.02,0,0.1
21:25:00.225932,0.99,0.02,-0,0.11
21:25:00.242670,0.99,0.02,-0,0.13
21:25:00.258995,0.99,0.02,-0,0.14
21:25:00.275664,0.99,0.02,-0,0.16
21:25:00.292617,0.98,0.02,-0,0.18
21:25:00.309321,0.98,0.02,-0,0.19
21:25:00.325702,0.98,0.01,-0,0.21
21:25:00.342333,0.97,0.01,-0,0.23
21:25:00.359187,0.97,0.01,-0,0.24
21:25:00.375616,0.97,0.01,-0,0.26
21:25:00.392147,0.96,0.01,-0,0.26
21:25:00.408860,0.96,0.01,-0,0.28
21:25:00.425454,0.96,0.01,-0,0.29
21:25:00.442138,0.95,0.01,-0,0.31
21:25:00.458800,0.95,0,-0,0.32
21:25:00.475372,0.94,0,-0,0.33
21:25:00.492126,0.94,0,-0,0.35
21:25:00.509351,0.93,0,-0,0.36
21:25:00.525792,0.93,0,0,0.38
21:25:00.542804,0.92,-0,0,0.39
21:25:00.559335,0.92,-0,0.01,0.4
21:25:00.575942,0.91,-0,0.01,0.41
21:25:00.592717,0.91,-0,0.01,0.42
21:25:00.609716,0.9,-0,0.01,0.43
21:25:00.625549,0.9,-0.01,0.01,0.44
21:25:00.642477,0.9,-0.01,0.02,0.44
21:25:00.658844,0.89,-0.01,0.02,0.45
21:25:00.675475,0.88,-0.01,0.02,0.47
21:25:00.692161,0.87,-0,0.02,0.49
21:25:00.709079,0.87,-0,0.02,0.5
21:25:00.725670,0.86,-0,0.02,0.51
21:25:00.742233,0.86,-0.01,0.02,0.52
21:25:00.758970,0.85,-0.01,0.02,0.53
21:25:00.775754,0.84,-0.01,0.02,0.55
21:25:00.792400,0.82,-0.01,0.02,0.57
21:25:00.808953,0.81,-0.01,0.02,0.58
21:25:00.825622,0.8,-0.01,0.02,0.6
21:25:00.842150,0.79,-0,0.01,0.62
21:25:00.858750,0.78,-0,0,0.63
21:25:00.875344,0.76,0,0,0.65
21:25:00.892147,0.75,0,-0,0.66
21:25:00.908824,0.73,0,0,0.69
21:25:00.926031,0.71,-0.01,0.01,0.71
21:25:00.942309,0.69,-0.01,0.01,0.72
21:25:00.959056,0.68,-0.01,0.01,0.73
21:25:00.975524,0.67,-0.01,0.01,0.75
21:25:00.992166,0.65,-0,0,0.76
21:25:01.008838,0.65,-0,0,0.76
21:25:01.025489,0.63,-0,0,0.77
21:25:01.042122,0.62,-0.01,0,0.79
21:25:01.058737,0.61,-0.01,0.01,0.79
21:25:01.075314,0.58,-0.02,0.01,0.81
21:25:01.092056,0.57,-0.02,0.01,0.82
21:25:01.108675,0.54,-0.02,0,0.84
21:25:01.125634,0.51,-0.01,0,0.86
21:25:01.142569,0.5,-0.01,0,0.87
21:25:01.158979,0.48,-0.01,-0,0.88
21:25:01.175690,0.44,-0.01,-0,0.9
21:25:01.192224,0.43,-0.01,-0,0.9
21:25:01.208846,0.4,-0.01,-0,0.92
21:25:01.226206,0.37,-0.01,-0,0.93
21:25:01.242571,0.34,-0.01,-0,0.94
21:25:01.259177,0.33,-0.01,-0,0.94
21:25:01.275547,0.3,-0.01,-0.01,0.95
21:25:01.292187,0.28,-0.01,-0.01,0.96
21:25:01.308953,0.25,-0.01,-0.01,0.97
21:25:01.325533,0.22,-0.01,-0.01,0.97
21:25:01.342164,0.21,-0.01,-0.01,0.98
21:25:01.359370,0.19,-0.01,-0.01,0.98
21:25:01.375994,0.17,-0.01,-0.01,0.98
21:25:01.392384,0.16,-0.01,-0.01,0.99
21:25:01.409042,0.15,-0.01,-0.01,0.99
21:25:01.425584,0.13,-0.01,-0.01,0.99
21:25:01.442180,0.12,-0.01,-0.01,0.99
21:25:01.459288,0.11,-0.01,-0.01,0.99
21:25:01.475370,0.09,-0.01,-0.01,1
21:25:01.492223,0.08,-0.01,-0.01,1
21:25:01.508817,0.06,-0.01,-0.01,1
21:25:01.525314,0.04,-0.01,-0.01,1
21:25:01.542254,0.03,-0.01,-0.01,1
21:25:01.559494,0.01,-0.01,-0.01,1
21:25:01.575806,-0,-0.01,-0.01,1
21:25:01.592341,-0.01,-0.01,-0.01,1
21:25:01.609018,-0.03,-0.01,-0.01,1
21:25:01.625612,-0.06,-0.01,-0.01,1
21:25:01.642205,-0.07,-0.01,-0.01,1
21:25:01.659025,-0.09,-0.01,-0.01,1
21:25:01.675508,-0.11,-0.01,-0.01,0.99
21:25:01.692195,-0.12,-0.01,-0.01,0.99
21:25:01.708791,-0.15,-0.01,-0.01,0.99
21:25:01.725526,-0.18,-0.01,-0.01,0.98
21:25:01.742043,-0.19,-0.01,-0.01,0.98
21:25:01.759373,-0.21,-0.01,-0.01,0.98
21:25:01.775828,-0.22,-0.01,-0.01,0.97
21:25:01.792183,-0.23,-0.01,-0.01,0.97
21:25:01.808823,-0.26,-0.01,-0.01,0.97
21:25:01.825571,-0.29,-0.01,-0.01,0.96
21:25:01.842126,-0.31,-0.01,-0.01,0.95
21:25:01.859460,-0.34,-0.02,-0.01,0.94
21:25:01.875383,-0.36,-0.01,-0.01,0.93
21:25:01.892492,-0.37,-0.01,-0.01,0.93
21:25:01.908926,-0.39,-0.01,-0.01,0.92
21:25:01.925473,-0.43,-0.01,-0.02,0.9
21:25:01.942164,-0.46,-0.02,-0.02,0.89
21:25:01.959305,-0.49,-0.02,-0.02,0.87
21:25:01.975602,-0.52,-0.02,-0.02,0.85
21:25:01.992283,-0.54,-0.02,-0.02,0.84
21:25:02.008849,-0.56,-0.02,-0.02,0.83
21:25:02.025637,-0.59,-0.02,-0.02,0.81
21:25:02.042134,-0.6,-0.02,-0.03,0.8
21:25:02.058825,-0.63,-0.02,-0.03,0.78
21:25:02.075297,-0.66,-0.02,-0.03,0.75
21:25:02.092118,-0.67,-0.02,-0.03,0.74
21:25:02.108850,-0.7,-0.01,-0.03,0.72
21:25:02.125312,-0.72,-0.02,-0.03,0.69
21:25:02.142098,-0.74,-0.02,-0.03,0.67
21:25:02.159306,-0.77,-0.02,-0.03,0.64
21:25:02.175692,-0.78,-0.02,-0.02,0.62
21:25:02.192300,-0.78,-0.02,-0.02,0.62
21:25:02.208860,-0.78,-0.02,-0.02,0.62
21:25:02.225335,-0.78,-0.02,-0.02,0.62
21:25:02.242052,-0.78,-0.02,-0.02,0.62
21:25:02.258775,-0.77,-0.02,-0.02,0.63
21:25:02.275295,-0.76,-0.02,-0.02,0.65
21:25:02.292107,-0.75,-0.02,-0.02,0.66
21:25:02.308815,-0.74,-0.02,-0.02,0.67
21:25:02.325596,-0.73,-0.02,-0.01,0.68
21:25:02.342064,-0.72,-0.02,-0.01,0.69
21:25:02.358936,-0.72,-0.02,-0.01,0.7
21:25:02.376147,-0.72,-0.02,-0.01,0.7
21:25:02.392248,-0.72,-0.02,-0.01,0.7
21:25:02.408795,-0.72,-0.02,-0,0.7
21:25:02.425480,-0.72,-0.02,-0,0.7
21:25:02.442051,-0.72,-0.02,-0,0.7
21:25:02.458757,-0.73,-0.02,-0.01,0.69
21:25:02.475323,-0.73,-0.02,-0.01,0.68
21:25:02.492124,-0.73,-0.02,-0.01,0.68
21:25:02.508770,-0.73,-0.02,-0.01,0.68
21:25:02.525328,-0.73,-0.02,-0.01,0.69
21:25:02.541979,-0.72,-0.02,-0.01,0.69
21:25:02.559014,-0.72,-0.02,-0.01,0.69
21:25:02.576083,-0.72,-0.02,-0.01,0.69
21:25:02.592557,-0.72,-0.02,-0.01,0.69
21:25:02.609000,-0.72,-0.02,-0.01,0.69
21:25:02.625519,-0.72,-0.02,-0.01,0.7
21:25:02.642217,-0.72,-0.02,-0.01,0.7
21:25:02.658882,-0.71,-0.02,-0.01,0.7
21:25:02.675405,-0.71,-0.02,-0.01,0.7
21:25:02.692159,-0.71,-0.02,-0.01,0.71
21:25:02.708724,-0.7,-0.02,-0.01,0.72
21:25:02.725440,-0.69,-0.02,-0,0.73
21:25:02.742025,-0.68,-0.02,-0,0.73
21:25:02.758743,-0.67,-0.02,-0,0.75
21:25:02.775977,-0.65,-0.02,-0,0.76
21:25:02.792238,-0.65,-0.02,-0,0.76
21:25:02.808787,-0.63,-0.02,-0,0.78
21:25:02.825633,-0.61,-0.02,-0,0.79
21:25:02.842062,-0.6,-0.02,0,0.8
21:25:02.858751,-0.58,-0.02,0,0.81
21:25:02.875383,-0.56,-0.02,0,0.83
21:25:02.892133,-0.56,-0.02,0,0.83
21:25:02.908777,-0.54,-0.02,0.01,0.84
21:25:02.925456,-0.51,-0.02,0.01,0.86
21:25:02.942079,-0.5,-0.02,0.01,0.87
21:25:02.958819,-0.47,-0.02,0.01,0.88
21:25:02.976078,-0.46,-0.03,0.02,0.89
21:25:02.992263,-0.45,-0.03,0.02,0.89
21:25:03.008846,-0.43,-0.03,0.02,0.9
21:25:03.025395,-0.4,-0.03,0.01,0.92
21:25:03.042071,-0.38,-0.03,0.02,0.92
21:25:03.058820,-0.35,-0.03,0.02,0.94
21:25:03.075305,-0.31,-0.03,0.03,0.95
21:25:03.092116,-0.29,-0.04,0.03,0.96
21:25:03.108788,-0.25,-0.04,0.03,0.97
21:25:03.125336,-0.22,-0.04,0.03,0.97
21:25:03.142115,-0.21,-0.04,0.03,0.98
21:25:03.158762,-0.17,-0.03,0.03,0.98
21:25:03.175451,-0.13,-0.04,0.04,0.99
21:25:03.192580,-0.11,-0.04,0.04,0.99
21:25:03.208885,-0.06,-0.04,0.04,1
21:25:03.225420,-0.02,-0.04,0.03,1
21:25:03.242063,0,-0.05,0.03,1
21:25:03.258909,0.04,-0.04,0.02,1
21:25:03.275396,0.07,-0.03,0.02,1
21:25:03.292335,0.09,-0.03,0.02,0.99
21:25:03.308808,0.13,-0.03,0.02,0.99
21:25:03.325334,0.17,-0.03,0.02,0.98
21:25:03.342063,0.19,-0.03,0.02,0.98
21:25:03.358805,0.23,-0.02,0.02,0.97
21:25:03.375536,0.26,-0.02,0.02,0.96
21:25:03.392488,0.28,-0.02,0.02,0.96
21:25:03.408983,0.32,-0.02,0.02,0.95
21:25:03.425689,0.35,-0.02,0.02,0.94
21:25:03.442082,0.37,-0.02,0.02,0.93
21:25:03.458746,0.41,-0.01,0.02,0.91
21:25:03.475409,0.44,-0.01,0.02,0.9
21:25:03.492147,0.45,-0.01,0.02,0.89
21:25:03.508832,0.48,-0.01,0.02,0.88
21:25:03.525383,0.5,-0.01,0.02,0.86
21:25:03.542091,0.51,-0.01,0.02,0.86
21:25:03.559135,0.53,-0,0.02,0.84
21:25:03.575521,0.56,-0,0.02,0.83
21:25:03.592536,0.56,-0,0.02,0.83
21:25:03.609274,0.58,-0,0.02,0.82
21:25:03.625693,0.59,-0,0.02,0.81
21:25:03.642298,0.6,-0,0.02,0.8
21:25:03.658915,0.62,0,0.02,0.78
21:25:03.675451,0.65,0,0.02,0.76
21:25:03.692183,0.66,0,0.02,0.75
21:25:03.708753,0.69,0.01,0.02,0.73
21:25:03.725376,0.7,0.01,0.02,0.72
21:25:03.742089,0.72,0.01,0.02,0.7
21:25:03.758810,0.74,0.01,0.02,0.67
21:25:03.775269,0.76,0.01,0.02,0.65
21:25:03.792071,0.77,0.01,0.02,0.64
21:25:03.809096,0.78,0.01,0.02,0.62
21:25:03.825669,0.8,0.01,0.02,0.6
21:25:03.842181,0.81,0.01,0.02,0.59
21:25:03.858772,0.82,0.01,0.02,0.57
21:25:03.875431,0.83,0.01,0.03,0.56
21:25:03.891984,0.84,0.01,0.03,0.55
21:25:03.908738,0.85,0.01,0.03,0.53
21:25:03.925300,0.86,0.01,0.03,0.51
21:25:03.942051,0.88,0.01,0.03,0.48
21:25:03.958824,0.89,0.01,0.03,0.45
21:25:03.975319,0.91,0.01,0.03,0.42
21:25:03.992051,0.91,0.01,0.03,0.41
21:25:04.008831,0.91,0.01,0.03,0.4
21:25:04.025904,0.91,0.01,0.03,0.4
21:25:04.042258,0.91,0.01,0.02,0.4
21:25:04.058834,0.91,0.01,0.02,0.4
21:25:04.075443,0.91,0.01,0.02,0.4
21:25:04.092100,0.91,0.02,0.02,0.4
21:25:04.108783,0.91,0.02,0.02,0.4
21:25:04.125318,0.91,0.02,0.02,0.4
21:25:04.142087,0.91,0.02,0.02,0.4
21:25:04.158819,0.91,0.02,0.02,0.4
21:25:04.175294,0.91,0.02,0.02,0.4
21:25:04.192056,0.91,0.02,0.02,0.4
21:25:04.209185,0.92,0.02,0.03,0.4
21:25:04.226116,0.93,0.02,0.03,0.38
21:25:04.242320,0.93,0.02,0.03,0.36
21:25:04.258857,0.94,0.02,0.03,0.33
21:25:04.275471,0.96,0.02,0.04,0.29
21:25:04.292222,0.96,0.02,0.04,0.27
21:25:04.308788,0.97,0.02,0.03,0.23
21:25:04.325315,0.98,0.02,0.03,0.21
21:25:04.342104,0.98,0.02,0.03,0.2
21:25:04.358743,0.98,0.02,0.03,0.19
21:25:04.375386,0.98,0.02,0.03,0.17
21:25:04.392041,0.99,0.02,0.03,0.14
21:25:04.408766,0.99,0.02,0.03,0.1
21:25:04.425372,1,0.02,0.03,0.091
21:25:04.442683,1,0.03,0.04,0.061
21:25:04.458960,1,0.03,0.04,0.041
21:25:04.475650,1,0.03,0.05,0.02
21:25:04.492165,1,0.03,0.05,0.011
21:25:04.508880,1,0.03,0.05,-0.001
21:25:04.525419,1,0.03,0.05,-0.03
21:25:04.542382,1,0.03,0.05,-0.041
21:25:04.559026,1,0.03,0.05,-0.07
21:25:04.575401,0.99,0.03,0.04,-0.11
21:25:04.592589,0.99,0.03,0.04,-0.13
21:25:04.609224,0.99,0.03,0.04,-0.15
21:25:04.626129,0.98,0.03,0.04,-0.17
21:25:04.642973,0.98,0.03,0.04,-0.19
21:25:04.659383,0.97,0.03,0.04,-0.23
21:25:04.675783,0.97,0.03,0.03,-0.26
21:25:04.692410,0.96,0.03,0.04,-0.27
21:25:04.708978,0.95,0.03,0.03,-0.31
21:25:04.725942,0.95,0.03,0.03,-0.32
21:25:04.742158,0.93,0.03,0.04,-0.36
21:25:04.759254,0.92,0.03,0.03,-0.39
21:25:04.775856,0.9,0.03,0.03,-0.43
21:25:04.792660,0.89,0.03,0.03,-0.44
21:25:04.809358,0.88,0.03,0.04,-0.48
21:25:04.826946,0.86,0.04,0.03,-0.51
21:25:04.842837,0.85,0.04,0.03,-0.53
21:25:04.859071,0.83,0.04,0.03,-0.56
21:25:04.875783,0.82,0.04,0.03,-0.57
21:25:04.892282,0.81,0.04,0.03,-0.59
21:25:04.909155,0.8,0.04,0.03,-0.6
21:25:04.925703,0.79,0.04,0.03,-0.61
21:25:04.942259,0.77,0.04,0.03,-0.63
21:25:04.958822,0.76,0.04,0.03,-0.65
21:25:04.975442,0.75,0.04,0.03,-0.66
21:25:04.992062,0.72,0.04,0.02,-0.69
21:25:05.008720,0.69,0.04,0.02,-0.72
21:25:05.026437,0.68,0.04,0.01,-0.73
21:25:05.042085,0.66,0.04,0.01,-0.75
21:25:05.059328,0.64,0.04,0.02,-0.76
21:25:05.075619,0.63,0.03,0.02,-0.78
21:25:05.092321,0.62,0.03,0.02,-0.78
21:25:05.109017,0.6,0.03,0.02,-0.8
21:25:05.126555,0.59,0.03,0.02,-0.81
21:25:05.142075,0.57,0.04,0.01,-0.82
21:25:05.158801,0.55,0.03,0.01,-0.84
21:25:05.175272,0.54,0.03,0.01,-0.84
21:25:05.191961,0.52,0.03,0.01,-0.85
21:25:05.208721,0.5,0.03,0.01,-0.86
21:25:05.225353,0.49,0.03,0.01,-0.87
21:25:05.242044,0.47,0.04,0,-0.88
21:25:05.258715,0.44,0.04,0,-0.9
21:25:05.276125,0.43,0.04,-0,-0.9
21:25:05.292431,0.41,0.04,0,-0.91
21:25:05.308929,0.4,0.04,0,-0.92
21:25:05.325573,0.39,0.04,0,-0.92
21:25:05.342157,0.38,0.04,0,-0.93
21:25:05.358837,0.36,0.04,-0,-0.93
21:25:05.375735,0.35,0.04,-0,-0.93
21:25:05.392179,0.34,0.04,-0.01,-0.94
21:25:05.408650,0.33,0.04,-0.01,-0.94
21:25:05.425535,0.32,0.04,-0,-0.95
21:25:05.442130,0.31,0.04,-0,-0.95
21:25:05.458799,0.3,0.04,-0,-0.95
21:25:05.476002,0.29,0.04,-0,-0.96
21:25:05.492300,0.28,0.04,-0,-0.96
21:25:05.509081,0.28,0.04,-0,-0.96
21:25:05.525670,0.28,0.04,-0,-0.96
21:25:05.542180,0.27,0.04,-0,-0.96
21:25:05.559112,0.27,0.04,-0,-0.96
21:25:05.575661,0.27,0.04,-0,-0.96
21:25:05.592087,0.27,0.04,-0,-0.96
21:25:05.608901,0.27,0.04,-0,-0.96
21:25:05.625487,0.27,0.04,-0,-0.96
21:25:05.642161,0.27,0.04,-0,-0.96
